Ref, RefTur, RefActiv
F1, lachiqui, Degusta
F2, lachiqui, Tour por Colonia del Sacramento
F3, isabelita, Tour por Colonia del Sacramento
F4, isabelita, Almuerzo en el Real de San Carlos
F5, anibal, Almuerzo en el Real de San Carlos
F6, anibal, Almuerzo en Valle del Lunarejo
F7, anibal, Cabalgata en Valle del Lunarejo
F8, waston, Degusta
F9, waston, Teatro con Sabores
F10, waston, Tour por Colonia del Sacramento
F11, waston, Almuerzo en el Real de San Carlos
F12, elelvis, Cabalgata en Valle del Lunarejo
F13, eleven11, Degusta
F14, eleven11, Teatro con Sabores
F15, bobesponja, Tour por Colonia del Sacramento
F16, bobesponja, Almuerzo en el Real de San Carlos
F17, tony, Teatro con Sabores
